"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"118","ALMY","Alopecurus myosuroides","No","Moderate",2,"None","None","High",43000,12,"Summer","Graminoid","Spring"
"119","ALPH","Alternanthera philoxeroides","Yes","Rapid",0,"Low","None","High",4800,10,"Early Spring","Forb/herb","Spring"
"120","AMDU2","Ambrosia dumosa","No","Rapid",2,"High","None","Low",100,12,"Late Winter","Subshrub","Spring"
"121","AMDU2","Ambrosia dumosa","No","Rapid",2,"High","None","Low",100,12,"Late Winter","Shrub","Spring"
"122","AMAL2","Amelanchier alnifolia","No","Moderate",15,"Low","High","Medium",1700,24,"Early Summer","Tree","Spring"
"123","AMAL2","Amelanchier alnifolia","No","Moderate",15,"Low","High","Medium",1700,24,"Early Summer","Shrub","Spring"
"124","AMALS","Amelanchier alnifolia var. semiintegrifolia","No","Moderate",20,"Low","Medium","Low",1200,20,"Late Spring","Tree","Spring"
"125","AMALS","Amelanchier alnifolia var. semiintegrifolia","No","Moderate",20,"Low","Medium","Low",1200,20,"Late Spring","Shrub","Spring"
"126","AMAR3","Amelanchier arborea","No","Slow",36,"Low","Medium","Medium",1700,20,"Mid Spring","Tree","Spring"
"127","AMAR3","Amelanchier arborea","No","Slow",36,"Low","Medium","Medium",1700,20,"Mid Spring","Shrub","Spring"
"128","AMCA4","Amelanchier canadensis","Yes","Moderate",23,"Low","High","Medium",1800,20,"Mid Spring","Tree","Spring"
"129","AMCA4","Amelanchier canadensis","Yes","Moderate",23,"Low","High","Medium",1800,20,"Mid Spring","Shrub","Spring"
"130","AMLA","Amelanchier laevis","No","Moderate",35,"Medium","Medium","Medium",1200,30,"Early Spring","Tree","Spring"
"131","AMLA","Amelanchier laevis","No","Moderate",35,"Medium","Medium","Medium",1200,30,"Early Spring","Shrub","Spring"
"132","AMOB2","Amelanchier obovalis","No","Moderate",10,"Low","Medium","Medium",1700,24,"Early Spring","Shrub","Spring"
"133","AMSA","Amelanchier sanguinea","No","Moderate",10,"Medium","High","Medium",1700,24,"Late Spring","Tree","Spring"
"134","AMSA","Amelanchier sanguinea","No","Moderate",10,"Medium","High","Medium",1700,24,"Late Spring","Shrub","Spring"
