"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"191","MIGU","seep monkeyflower","Mimulus guttatus","No","Rapid",2,"None","Medium","High",4800,12,"Mid Spring","Forb/herb","Spring"
"192","MIMU","Colorado four o'clock","Mirabilis multiflora","No","Moderate",2,"High","Low","Low",4800,12,"Late Spring","Forb/herb","Spring"
"193","MIMU","Colorado four o'clock","Mirabilis multiflora","No","Moderate",2,"High","Low","Low",4800,12,"Late Spring","Subshrub","Spring"
"194","MOCA6","California wax myrtle","Morella californica","No","Moderate",33,"Low","Low","Medium",1700,20,"Early Summer","Tree","Spring"
"195","MOCA6","California wax myrtle","Morella californica","No","Moderate",33,"Low","Low","Medium",1700,20,"Early Summer","Shrub","Spring"
"196","MUAS","scratchgrass","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Spring"
"197","MUAS","scratchgrass","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Summer"
"198","MUAS","scratchgrass","Muhlenbergia asperifolia","No","Moderate",2,"Low","High","High",18000,8,"Early Summer","Graminoid","Fall"
"199","MURI","mat muhly","Muhlenbergia richardsonis","No","Rapid",0,"Low","Medium","High",18000,6,"Early Summer","Graminoid","Spring"
"200","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Spring"
"201","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Summer"
"202","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Tree","Fall"
"203","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Spring"
"204","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Summer"
"205","NEOL","oleander","Nerium oleander","Yes","Rapid",12,"High","High","Low",1200,16,"Summer","Shrub","Fall"
"206","OEEL","Hooker's evening primrose","Oenothera elata","No","Moderate",5,"Low","High","High",4800,8,"Mid Summer","Forb/herb","Spring"
